v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,class
20,3,1,1,31,118.0299988,0.109999999,9,13.10999966,1062.25,0.039999999,59.00999832,13,4,0,0,66,113,163,4,100,1
39,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
63,21,21,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,90,1
78,6,1,5,192,1072.310059,0.039999999,28.20999908,38.00999832,30254.53906,0.360000014,1680.810059,45,6,19,6,19,87,40,434,10,1
209,26,17,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,96,1
6,2,1,1,21,82.04000092,0.170000002,6,13.67000008,492.269989,0.029999999,27.35000038,4,0,0,0,4,113,91,387,71,1
44,13,13,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,64,1
24,3,1,1,52,224.7400055,0.059999999,16.70999908,13.44999981,3756.370117,0.07,208.6900024,18,0,4,0,9,137,304,104,100,1
23,2,1,2,51,233.8300018,0.170000002,6,38.97000122,1403,0.079999998,77.94000244,19,0,2,0,66,49,273,126,71,1
69,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,1
148,19,10,11,516,3223.929932,0.029999999,34.66999817,93,111762.9297,1.070000052,6209.049805,118,7,16,1,17,122,271,135,82,1
83,20,15,7,226,1300.599976,0.029999999,33.18999863,39.18999863,43166.62109,0.430000007,2398.149902,62,7,12,0,24,88,89,428,84,1
53,4,1,4,106,539.2700195,0.07,14.85999966,36.29999924,8012.029785,0.180000007,445.1099854,36,7,8,0,9,73,460,342,120,1
97,15,12,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,70,1
25,2,1,2,71,355,0.150000006,6.460000038,54.97999954,2292.070068,0.119999997,127.3399963,20,3,0,0,66,77,340,258,71,1
466,110,95,85,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,55,1
110,27,14,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,105,1
113,19,18,11,491,3179.590088,0.02,45.40000153,70.04000092,144343.0625,1.059999943,8019.060059,92,9,12,0,25,130,231,148,82,1
119,9,7,7,300,1862.839966,0.039999999,24.95999908,74.62999725,46500.60156,0.620000005,2583.370117,79,21,15,2,20,117,119,37,44,1
15,3,1,2,47,215.4900055,0.109999999,9,23.94000053,1939.439941,0.07,107.75,10,0,2,1,8,25,252,104,100,1
44,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,51,1
124,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,1
8,1,1,1,15,51.88999939,0.340000004,2.920000076,17.79000092,151.3500061,0.02,8.409999847,4,0,2,0,54,125,535,412,1,1
8,1,1,1,15,51.88999939,0.340000004,2.920000076,17.79000092,151.3500061,0.02,8.409999847,4,0,2,0,54,125,535,412,1,1
162,27,23,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,105,1
113,27,20,16,445,2829.110107,0.02,41.45000076,68.26000214,117259.1875,0.939999998,6514.399902,97,0,9,5,24,122,215,114,105,1
8,1,1,1,15,51.88999939,0.340000004,2.920000076,17.79000092,151.3500061,0.02,8.409999847,4,0,2,0,54,125,535,412,1,1
8,1,1,1,14,46.50999832,0.330000013,3,15.5,139.5200043,0.02,7.75,4,0,2,0,54,113,535,387,1,1
9,2,1,1,17,62.90999985,0.239999995,4.079999924,15.40999985,256.8699951,0.02,14.27000046,6,0,1,0,61,125,4,412,71,1
179,36,27,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,121,1
171,16,1,16,644,4230.990234,0.029999999,34.25,123.5299988,144911.3125,1.409999967,8050.629883,115,8,24,22,17,144,330,208,73,1
77,15,11,15,273,1656.040039,0.059999999,18.04000092,91.80000305,29873.71094,0.550000012,1659.650024,62,4,9,0,13,115,100,25,70,1
8,1,1,1,15,51.88999939,0.340000004,2.920000076,17.79000092,151.3500061,0.02,8.409999847,4,0,2,0,54,125,535,412,1,1
12,4,1,1,40,183.3999939,0.129999995,8,22.92000008,1467.189941,0.059999999,81.51000214,8,0,2,0,8,25,196,80,120,1
42,9,1,4,135,708.4699707,0.07,14.88000011,47.63000107,10538.49023,0.239999995,585.4699707,28,6,6,0,14,90,44,422,67,1
14,1,1,1,79,346.9899902,0.219999999,4.590000153,75.62999725,1592.089966,0.119999997,88.44999695,12,0,0,0,41,62,354,298,1,1
19,5,1,1,62,267.9599915,0.050000001,21,12.76000023,5627.149902,0.090000004,312.6199951,15,0,2,0,8,148,304,212,138,1
88,8,1,7,250,1372.959961,0.029999999,33.25,41.29000092,45651.03125,0.460000008,2536.169922,52,19,12,3,20,78,119,427,34,1
13,2,1,2,50,235.0200043,0.239999995,4.239999771,55.47000122,995.75,0.079999998,55.31999969,10,0,1,0,61,69,229,159,71,1
46,4,1,4,80,396.3399963,0.079999998,11.92000008,33.25999832,4723,0.129999995,262.3900146,28,1,14,0,9,66,404,258,120,1
129,30,18,25,402,2583.360107,0.02,46.41999817,55.65000153,119927.4531,0.860000014,6662.640137,111,1,14,1,35,116,221,57,110,1
20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
22,1,1,1,107,508.769989,0.079999998,12.06000042,42.18999863,6135.200195,0.170000002,340.8399963,16,0,4,0,4,62,492,309,1,1
32,2,1,2,157,851.9199829,0.079999998,12.19999981,69.80999756,10396.12988,0.280000001,577.5599976,23,3,4,0,7,92,550,414,71,1
13,1,1,1,45,171.3300018,0.07,14.39999962,11.89999962,2467.169922,0.059999999,137.0599976,9,0,2,0,66,113,252,80,1,1
12,3,1,2,22,88,0.119999997,8.329999924,10.56000042,733.3300171,0.029999999,40.74000168,9,0,1,0,4,125,49,4,100,1
6,1,1,1,11,34.86999893,0.319999993,3.119999886,11.15999985,108.9700012,0.01,6.050000191,3,0,1,0,54,101,466,349,1,1
17,3,1,1,28,109.3899994,0.129999995,7.429999828,14.72999954,812.6300049,0.039999999,45.15000153,13,1,1,0,65,137,91,41,100,1
5,1,1,1,15,53.77000046,0.239999995,4.199999809,12.80000019,225.8500061,0.02,12.55000019,3,0,0,0,61,113,560,387,1,1
227,55,22,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,1
68,5,1,4,309,1725.75,0.029999999,32.04000092,53.84999847,55302.55078,0.579999983,3072.360107,53,1,8,0,11,92,111,55,138,1
37,4,1,4,73,371.3800049,0.100000001,10.14999962,36.59000015,3769.560059,0.119999997,209.4199982,23,6,6,0,10,72,384,222,120,1
106,12,5,9,288,1759.26001,0.029999999,34.93999863,50.34999847,61473.96875,0.589999974,3415.219971,76,17,10,1,24,107,109,34,56,1
18,1,1,1,18,72,0.300000012,3.299999952,21.81999969,237.6000061,0.02,13.19999981,14,0,2,0,58,4,507,17,1,1
100,11,1,7,277,1636.209961,0.039999999,28.25,57.91999817,46222.89844,0.550000012,2567.939941,64,17,17,0,19,102,108,23,53,1
99,14,5,11,277,1802.660034,0.039999999,26.15999985,68.91999817,47150.80078,0.600000024,2619.48999,85,4,10,0,26,131,95,35,61,1
53,6,1,3,176,942.9299927,0.029999999,30.22999954,31.19000053,28502.17969,0.310000002,1583.449951,37,2,10,2,17,75,22,413,10,1
4,1,1,1,10,30,0.5,2,15,60,0.01,3.329999924,2,0,0,0,41,101,466,303,1,1
4,1,1,1,10,30,0.5,2,15,60,0.01,3.329999924,2,0,0,0,41,101,466,303,1,1
4,1,1,1,10,30,0.5,2,15,60,0.01,3.329999924,2,0,0,0,41,101,466,303,1,1
4,1,1,1,10,30,0.5,2,15,60,0.01,3.329999924,2,0,0,0,41,101,466,303,1,1
4,1,1,1,10,30,0.5,2,15,60,0.01,3.329999924,2,0,0,0,41,101,466,303,1,1
50,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,138,1
14,3,1,1,21,82.04000092,0.129999995,8,10.26000023,656.3599854,0.029999999,36.45999908,7,2,3,0,4,113,65,435,100,1
11,2,1,1,30,120,0.109999999,9.170000076,13.09000015,1100,0.039999999,61.11000061,8,0,1,0,4,125,138,17,71,1
174,15,11,7,448,3020.179932,0.039999999,24.65999985,122.4599991,74486,1.00999999,4138.100098,107,28,37,0,20,157,204,129,70,1
33,4,1,3,98,485.5100098,0.090000004,10.71000004,45.31000137,5201.910156,0.159999996,288.9899902,29,0,2,0,4,73,438,328,120,1
4,1,1,1,8,24,0.400000006,2.5,9.600000381,60,0.01,3.329999924,2,0,0,0,54,89,422,231,1,1
13,2,1,2,59,236,0.129999995,7.800000191,30.26000023,1840.800049,0.079999998,102.2699966,9,0,2,0,58,4,293,193,71,1
135,11,1,9,352,2317.909912,0.050000001,18.57999992,124.7699966,43059.57813,0.769999981,2392.199951,92,14,24,3,16,146,140,83,53,1
49,6,3,5,137,760.9799805,0.039999999,23.76000023,32.02999878,18080.84961,0.25,1004.48999,38,0,9,0,21,80,542,361,10,1
45,6,1,3,226,1268.920044,0.039999999,27.36000061,46.38000107,34716.98047,0.419999987,1928.719971,40,1,2,0,14,92,56,9,10,1
65,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,120,1
40,5,3,5,131,723.5900269,0.039999999,23.37999916,30.95999908,16913.83984,0.239999995,939.6599731,32,0,5,0,21,78,536,353,138,1
59,7,5,7,195,1089.069946,0.050000001,20.63999939,52.77000046,22476.09961,0.360000014,1248.670044,34,13,8,2,17,88,68,394,22,1
31,4,3,4,107,576.9799805,0.050000001,20.5,28.14999962,11828.0498,0.189999998,657.1099854,23,0,6,0,20,73,492,309,120,1
45,9,9,5,195,1094.869995,0.029999999,28.96999931,37.79999924,31713.42969,0.360000014,1761.859985,36,4,5,0,19,88,36,443,44,1
31,6,1,3,69,338.5799866,0.07,14.85999966,22.79000092,5030.259766,0.109999999,279.4599915,21,3,5,0,13,42,376,193,10,1
28,2,1,2,75,339.269989,0.07,15.27000046,22.20999908,5181.529785,0.109999999,287.8599854,17,8,1,0,8,15,404,212,71,1
49,3,1,3,121,639.5300293,0.050000001,20.86000061,30.64999962,13343,0.209999993,741.2800293,33,2,4,8,14,75,497,361,100,1
30,5,3,4,100,545.9400024,0.050000001,21,26,11464.80957,0.180000007,636.9299927,21,1,5,1,21,75,460,314,138,1
146,15,9,9,423,2658.72998,0.02,43.15000153,61.61999893,114716.1719,0.889999986,6373.120117,93,23,13,12,26,115,221,85,70,1
127,16,10,9,462,3042.25,0.02,42,72.43000031,127774.6094,1.00999999,7098.589844,105,3,11,8,27,135,217,131,73,1
85,18,11,1,350,2083.959961,0.02,43.88999939,47.47999954,91475.25781,0.689999998,5081.959961,68,3,11,0,23,99,165,53,80,1
28,5,3,4,98,528.4500122,0.050000001,20,26.42000008,10568.94043,0.180000007,587.1599731,21,0,5,0,20,73,460,304,138,1
21,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,120,1
127,23,21,8,323,2081.070068,0.029999999,36.58000183,56.88999939,76123.38281,0.689999998,4229.080078,88,31,8,0,31,122,132,53,93,1
45,12,1,6,160,813.9899902,0.039999999,28.44000053,28.62000084,23153.60938,0.270000011,1286.310059,34,1,8,0,13,66,571,396,59,1
31,3,1,2,87,438.8599854,0.090000004,10.85999966,40.41999817,4764.790039,0.150000006,264.7099915,24,0,5,0,8,73,416,291,100,1
11,3,1,2,39,165.6699982,0.090000004,11.68999958,14.17000008,1936.26001,0.059999999,107.5699997,9,0,0,0,7,148,174,92,100,1
28,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,1
61,8,1,3,99,465.3399963,0.039999999,24.54999924,18.95999908,11422.07031,0.159999996,634.5599976,27,24,8,0,11,15,481,279,34,1
12,2,1,1,16,59.20999908,0.239999995,4.079999924,14.5,241.7599945,0.02,13.43000031,7,0,3,0,61,125,560,412,71,1
20,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,1
28,3,1,2,95,502.1099854,0.079999998,12.31999969,40.75999832,6186.029785,0.170000002,343.6700134,20,0,6,0,10,80,429,322,100,1
55,4,1,4,73,330.2200012,0.029999999,32,10.31999969,10567.04004,0.109999999,587.0599976,19,3,31,0,13,137,392,212,120,1
38,6,1,3,75,339.269989,0.039999999,23.32999992,14.53999996,7916.22998,0.109999999,439.7900085,12,2,19,3,10,161,392,232,10,1
14,10,7,6,97,396.480011,0.02,43.20000076,9.180000305,17128.09961,0.129999995,951.5599976,12,0,0,0,8,113,474,279,51,1
142,11,1,3,128,651.2000122,0.029999999,37.13999939,17.53000069,24187.25,0.219999999,1343.73999,38,72,26,4,19,42,526,355,53,1
29,3,1,2,95,502.1099854,0.079999998,12.31999969,40.75999832,6186.029785,0.170000002,343.6700134,21,0,6,0,10,80,429,322,100,1
15,2,1,2,19,70.30999756,0.189999998,5.25,13.39000034,369.1199951,0.02,20.51000023,7,4,2,0,61,125,4,452,71,1
54,5,1,4,116,574.6900024,0.029999999,33.22999954,17.29000092,19097.2793,0.189999998,1060.959961,33,5,14,0,16,33,500,342,138,1
105,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,1
29,3,3,2,52,238.4199982,0.140000001,6.900000095,34.54999924,1645.079956,0.079999998,91.38999939,13,9,5,0,66,49,252,159,100,1
15,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,100,1
24,4,4,2,48,222.9100037,0.180000007,5.630000114,39.63000107,1253.839966,0.07,69.66000366,14,5,2,0,66,55,241,126,120,1
25,4,4,2,50,235.0200043,0.180000007,5.559999943,42.27999878,1306.449951,0.079999998,72.58000183,15,5,2,0,66,62,252,137,120,1
88,14,1,14,364,2215.840088,0.02,50.45000076,43.91999817,111794.2266,0.74000001,6210.790039,79,0,2,0,25,105,154,85,34,1
116,13,7,12,292,1909.430054,0.039999999,22.89999962,83.40000153,43717.5,0.639999986,2428.75,100,5,11,0,25,134,119,28,59,1
71,5,1,4,223,1338,0.059999999,16.06999969,83.25,21503.57031,0.449999988,1194.640015,57,1,11,0,11,112,47,11,138,1
49,4,3,3,185,1097.189941,0.050000001,18.84000015,58.25,20667.92969,0.370000005,1148.219971,38,0,9,0,69,172,582,469,147,1
87,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,47,1
19,2,1,2,43,188.8699951,0.119999997,8.640000343,21.87000084,1631.150024,0.059999999,90.62000275,9,1,4,0,4,15,196,115,71,1
99,9,1,7,260,1577.180054,0.029999999,29.02000046,54.34000015,45774.98828,0.529999971,2543.060059,67,14,12,2,23,106,98,10,34,1
84,8,5,5,205,1195.73999,0.039999999,27.05999947,44.18999863,32355.38086,0.400000006,1797.52002,54,14,11,2,22,94,58,436,28,1
77,10,1,10,269,1459.670044,0.029999999,30.80999947,47.36999893,44979.30859,0.49000001,2498.850098,48,19,8,0,13,85,109,10,51,1
139,20,8,3,349,2061.5,0.02,64.30999756,32.04000092,132580.5313,0.689999998,7365.580078,68,35,26,6,27,92,155,63,84,1
37,5,1,1,143,721.3499756,0.050000001,18.56999969,38.84000015,13396.46973,0.239999995,744.25,26,2,6,1,8,73,530,398,138,1
29,3,1,3,97,485,0.090000004,11.63000011,41.70000076,5641.319824,0.159999996,313.4100037,16,4,6,1,9,69,481,266,100,1
20,3,1,3,41,180.0899963,0.109999999,9.329999924,19.29000092,1680.790039,0.059999999,93.37999725,14,0,4,0,8,161,229,54,100,1
31,3,1,3,105,534.1799927,0.090000004,11.76000023,45.41999817,6283.02002,0.180000007,349.0599976,18,4,6,1,9,73,497,291,100,1
34,5,1,1,91,427.7399902,0.050000001,22,19.44000053,9410.280273,0.140000001,522.7800293,14,3,13,2,9,33,404,322,138,1
62,6,4,5,169,953.8099976,0.050000001,18.29000092,52.15999985,17443.18945,0.319999993,969.0700073,47,4,9,0,14,93,578,414,10,1
132,31,23,12,1229,7582.839844,0.01,91.19999695,83.15000153,691554.8125,2.529999971,38419.71094,79,43,8,0,26,108,566,235,114,1
18,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,120,1
68,4,3,4,137,792.0499878,0.100000001,9.899999619,79.97000122,7845.029785,0.25999999,435.8299866,38,15,13,0,9,105,520,396,120,1
4,1,1,1,7,19.64999962,0.5,2,9.829999924,39.29999924,0.01,2.180000067,2,0,0,0,41,89,353,231,1,1
22,1,1,1,27,110.3600006,0.239999995,4.199999809,26.28000069,463.519989,0.039999999,25.75,3,5,6,4,61,4,91,30,1,1
10,2,1,1,20,78.13999939,0.219999999,4.5,17.36000061,351.6199951,0.029999999,19.53000069,7,0,1,0,66,125,78,387,71,1
76,8,6,7,149,787.5200195,0.050000001,20,39.38000107,15750.5,0.25999999,875.0300293,55,7,8,4,11,78,546,396,28,1
20,2,1,2,84,434.269989,0.109999999,9.25,46.95000076,4017.030029,0.140000001,223.1699982,14,0,4,0,8,78,404,284,71,1
20,2,1,2,84,430.8599854,0.100000001,9.649999619,44.63999939,4158.720215,0.140000001,231.0399933,14,0,4,0,8,77,404,284,71,1
31,6,1,2,76,357.230011,0.050000001,20.45000076,17.45999908,7307.049805,0.119999997,405.9500122,13,4,7,5,11,15,399,232,10,1
89,21,4,5,179,965.2199707,0.029999999,34.5,27.97999954,33300.26172,0.319999993,1850.01001,68,0,19,0,22,69,53,377,78,1
81,9,5,4,198,1154.910034,0.029999999,30.86000061,37.43000031,35639.87109,0.379999995,1979.98999,48,14,16,1,24,92,48,434,44,1
30,2,1,2,86,433.8200073,0.079999998,13.32999992,32.54000092,5784.240234,0.140000001,321.3500061,24,1,2,1,11,66,442,248,71,1
47,11,4,6,143,775.960022,0.029999999,31.04999924,24.98999977,24093.42969,0.25999999,1338.52002,37,0,8,0,22,72,558,361,52,1
191,27,18,23,581,3549.050049,0.02,60.15000153,59,213471.7344,1.179999948,11859.54004,148,32,8,0,21,110,288,190,105,1
36,7,1,4,72,363.2000122,0.059999999,15.60000038,23.28000069,5665.859863,0.119999997,314.769989,20,6,6,0,16,49,399,193,22,1
43,12,6,5,70,346.7900085,0.07,14.56999969,23.79999924,5053.279785,0.119999997,280.7399902,33,0,8,0,14,42,399,171,52,1
219,31,14,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,114,1
8,1,1,1,17,62.90999985,0.209999993,4.800000191,13.10999966,301.9599915,0.02,16.78000069,4,0,1,0,65,113,34,387,1,1
14,3,1,2,56,274.7900085,0.109999999,8.789999962,31.25,2416.5,0.090000004,134.25,8,0,4,0,9,62,293,159,100,1
24,2,1,2,77,353.0400085,0.050000001,18.32999992,19.26000023,6472.439941,0.119999997,359.5799866,17,0,5,0,11,161,446,147,71,1
24,2,1,2,89,418.3399963,0.039999999,22.39999962,18.68000031,9370.799805,0.140000001,520.5999756,17,0,5,0,13,4,474,212,71,1
26,2,1,2,89,413.2999878,0.059999999,17.81999969,23.20000076,7364.310059,0.140000001,409.1300049,19,0,5,0,10,15,474,212,71,1
70,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,138,1
24,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,120,1
25,4,3,3,111,582.5200195,0.050000001,19.5,29.87000084,11359.13965,0.189999998,631.0599976,19,0,4,0,17,69,515,298,120,1
36,2,1,2,86,448.0100098,0.079999998,13.32999992,33.59999847,5973.509766,0.150000006,331.8599854,24,1,9,0,13,73,429,273,71,1
29,4,1,3,100,535.7600098,0.079999998,12.39999962,43.18999863,6645.430176,0.180000007,369.1900024,19,5,3,0,11,82,457,318,120,1
28,7,1,4,62,307.1600037,0.109999999,9.390000343,32.72000122,2883.889893,0.100000001,160.2200012,18,5,3,0,9,66,321,193,22,1
6,1,1,1,13,43.18999863,0.5,2,21.59000015,86.37000275,0.01,4.800000191,3,0,1,0,41,125,507,387,1,1
40,5,1,5,132,711.789978,0.050000001,20,35.59000015,14235.71973,0.239999995,790.8699951,29,4,5,0,19,75,556,322,138,1
45,8,4,6,129,620.1500244,0.039999999,27.32999992,22.69000053,16950.73047,0.209999993,941.710022,39,0,4,0,13,25,556,309,34,1
45,7,1,6,121,581.6900024,0.039999999,24.67000008,23.57999992,14348.34961,0.189999998,797.1300049,38,0,5,0,13,25,544,284,22,1
4,1,1,1,7,19.64999962,0.5,2,9.829999924,39.29999924,0.01,2.180000067,2,0,0,0,41,89,353,231,1,1
160,18,8,6,216,1149.540039,0.02,51.33000183,22.38999939,59009.53906,0.379999995,3278.310059,64,18,73,3,21,66,68,443,80,1
27,4,3,2,82,406.2399902,0.059999999,17.60000038,23.07999992,7149.899902,0.140000001,397.2200012,18,0,7,0,13,49,416,258,120,1
121,22,1,13,345,2062.149902,0.039999999,23.90999985,86.26000214,49298.55078,0.689999998,2738.810059,102,5,5,7,11,111,142,72,92,1
12,2,1,1,17,62.90999985,0.180000007,5.599999905,11.22999954,352.2799988,0.02,19.56999969,7,0,3,0,65,113,4,412,71,1
26,2,1,2,22,81.41000366,0.25999999,3.859999895,21.11000061,314.0100098,0.029999999,17.44000053,6,1,11,0,58,137,65,452,71,1
25,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,1
34,9,9,7,110,539.7600098,0.059999999,17,31.75,9175.889648,0.180000007,509.769989,20,5,4,0,11,49,526,266,44,1
33,9,9,7,103,540.539978,0.050000001,22.21999931,24.31999969,12011.91992,0.180000007,667.3300171,25,1,3,0,19,66,481,304,44,1
145,10,4,6,382,2349.199951,0.02,41.31000137,56.86999893,97048.20313,0.779999971,5391.569824,89,37,17,0,25,108,195,58,51,1
5,1,1,1,7,19.64999962,0.5,2,9.829999924,39.29999924,0.01,2.180000067,2,0,0,0,41,89,353,231,1,1
28,7,5,4,54,262.3299866,0.07,13.46000004,19.48999977,3530.540039,0.090000004,196.1399994,16,4,2,0,14,25,312,115,22,1
46,8,3,5,108,578.6199951,0.050000001,19.95000076,29,11543.37988,0.189999998,641.2999878,29,5,5,5,20,72,508,291,34,1
41,10,10,4,120,638.6300049,0.029999999,28.71999931,22.22999954,18342.91016,0.209999993,1019.049988,32,0,5,0,21,66,520,336,51,1
85,18,14,17,238,1400.069946,0.029999999,28.75,48.70000076,40251.98828,0.469999999,2236.219971,71,2,9,0,22,97,88,453,80,1
60,16,7,6,189,1005.840027,0.02,48.02999878,20.94000053,48310.12109,0.340000004,2683.899902,43,1,11,3,22,62,53,414,73,1
31,7,5,5,113,616.9199829,0.039999999,22.5,27.42000008,13880.59961,0.209999993,771.1400146,28,0,1,0,21,75,500,328,22,1
39,8,6,6,129,712.539978,0.039999999,26,27.40999985,18526.0293,0.239999995,1029.219971,34,0,3,0,22,77,529,355,34,1
27,6,4,4,94,496.8299866,0.050000001,18.95000076,26.21999931,9413.580078,0.170000002,522.9799805,23,0,2,0,19,69,460,279,10,1
62,16,13,7,226,1233.829956,0.029999999,39.72000122,31.06999969,49004.57031,0.409999996,2722.47998,48,0,6,5,20,77,77,447,73,1
138,35,21,17,498,3191.879883,0.02,51.27000046,62.25999832,163640.6875,1.059999943,9091.150391,115,0,21,0,25,109,164,63,103,1
30,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,34,1
34,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,44,1
13,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,120,1
26,34,34,1,333,1462.640015,0.01,104,14.06000042,152114.7344,0.49000001,8450.820313,20,2,2,0,10,137,184,10,118,1
